Folder	Filename	nInterval	Label_interval	F0	F1	F2	F3	F4	Start_point	Duration_ms	Intensity_dB
	pono_voiceless_m_355	2	vowel	159	537	973	2846	3724	2.1470886381564465	119	76
	pono_voiceless_m_377	2	vowel	96	426	830	2641	3205	2.145579185842523	128	77
	pumo_voiceless_f_928	2	vowel	219	391	1031	3038	3508	2.138781804438672	85	74
	pumo_voiceless_m_198_1	2	vowel	134	363	748	2360	3082	2.152560484395038	76	77
	puso_voiceless_f_007	2	vowel	152	358	880	2729	3791	2.1632674073341684	94	75
	puso_voiceless_f_863_1	2	vowel	173	338	891	2771	3821	2.1231526844188724	131	75
	puso_voiceless_f_928	2	vowel	235	407	979	2830	3503	2.1388020980275466	88	78
	puso_voiceless_m_198_1	2	vowel	136	364	822	1950	2701	2.147645227030607	128	77
	puso_voiceless_m_355	2	vowel	165	331	832	2792	3538	2.1381970687113983	102	77
	puso_voiceless_m_377	2	vowel	104	278	735	2568	3302	2.148654925452508	91	78
