word,voicing,sex,talker_id,vot_type,start,end,VOT
baso,voiced,f,007,lead,2.11310767852994,2.13521116723797,22.103488708030028
baso,voiced,f,863,lead,2.10427768197893,2.21425541250932,109.97773053039018
baso,voiced,f,928,lead,2.10882239429224,2.29426709491082,185.44470061858
baso,voiced,m,198,lead,2.10891833048702,2.20907821361744,100.15988313042001
baso,voiced,m,355,lead,2.11950626381522,2.18938018551395,69.87392169873007
baso,voiced,m,377,lead,2.12264786887444,2.24782271280007,125.17484392562972
beno,voiced,f,007,lead,2.12060649301746,2.20410827457503,83.50178155756981
beno,voiced,f,863,lead,2.10696822590969,2.23374626174247,126.77803583278013
beno,voiced,f,928,lead,2.125328412757,2.27238948602506,147.0610732680604
beno,voiced,m,198,lead,2.12043816118261,2.21104424134969,90.60608016707982
beno,voiced,m,355,lead,2.12140094963967,2.19600244970663,74.6015000669602
beno,voiced,m,377,lead,2.11812610493187,2.26004027756841,141.91417263654006
bimo,voiced,f,007,lead,2.11456635888153,2.20975901913519,95.19266025365968
bimo,voiced,f,863,lead,2.11438669542136,2.2451803251493,130.79362972793973
bimo,voiced,f,928,lead,2.1448226992157,2.28642425251121,141.60155329550994
bimo,voiced,m,198,lead,2.12115582879445,2.21087526169037,89.71943289592011
bimo,voiced,m,355,lead,2.11946397726781,2.20582009317137,86.35611590355995
bimo,voiced,m,377,lead,2.1180723710616,2.24541328015251,127.34090909091034
bono,voiced,f,007,lead,2.11291912155804,2.22769849581604,114.7793742580001
bono,voiced,f,863,lead,2.1036334171038,2.24704089027887,143.40747317507007
bono,voiced,f,928,lead,2.10156035853015,2.26355379166983,161.99343313967995
bono,voiced,m,198,lead,2.11439771034492,2.2263558670648,111.95815671987974
bono,voiced,m,355,lead,2.1159630844946,2.2416017789018,125.6386944072001
bono,voiced,m,377,lead,2.11944797802996,2.27982495689052,160.37697886055957
buso,voiced,f,007,lead,2.11313923883146,2.17171226990189,58.57303107043022
buso,voiced,f,863,lead,2.11901454154986,2.21135116564874,92.33662409888011
buso,voiced,f,928,lead,2.27554503266366,2.43864631398574,163.10128132208
buso,voiced,m,198,lead,2.12021721068515,2.21828687650769,98.06966582253995
buso,voiced,m,355,lead,2.12279657958604,2.19991021594967,77.11363636363001
buso,voiced,m,377,lead,2.12359062865358,2.2658946475405,142.30401888692023
paso,voiceless,f,007,lag,2.11568736383611,2.13274168855206,17.05432471595003
paso,voiceless,f,863,lag,2.11229851208344,2.12807114982688,15.772637743439955
paso,voiceless,f,928,lag,2.12728417273334,2.13756466272186,10.280489988519825
paso,voiceless,m,198,lag,2.12164383054439,2.14442017923914,22.776348694750315
paso,voiceless,m,355,lag,2.11351296445453,2.13445141833641,20.93845388187976
paso,voiceless,m,377,lag,2.12107828720429,2.13407263406934,12.994346865049966
peno,voiceless,f,007,lag,2.12169576731666,2.14127587947654,19.58011215987998
peno,voiceless,f,863,lag,2.11699316746716,2.13237925988245,15.386092415289987
peno,voiceless,f,928,lag,2.12120358597241,2.13052657867314,9.322992700730115
peno,voiceless,m,198,lag,2.12251604388335,2.14476653610634,22.250492222990026
peno,voiceless,m,355,lag,2.12635212600618,2.14769206494571,21.3399389395299
peno,voiceless,m,377,lag,2.11862152970566,2.13137910508706,12.757575381399988
pimo,voiceless,f,007,lag,2.09686649970207,2.12526114028336,28.394640581290265
pimo,voiceless,f,863,lag,2.11308153616456,2.12869318181818,15.611645653619721
pimo,voiceless,f,928,lag,2.12486634428582,2.1370754317059,12.209087420079978
pimo,voiceless,m,198,lag,2.11816173277539,2.14254713769871,24.38540492332031
pimo,voiceless,m,355,lag,2.11951747839166,2.14231327563115,22.79579723948988
pimo,voiceless,m,377,lag,2.15845806231232,2.17113239332541,12.674331013089901
pono,voiceless,f,007,lag,2.09690005917651,2.12042862163577,23.528562459259827
pono,voiceless,f,863,lag,2.11151663363863,2.12888036479798,17.36373115934997
pono,voiceless,f,928,lag,2.33938864223758,2.35129347693191,11.904834694330013
pono,voiceless,m,198,lag,2.11899433992707,2.14082853206445,21.834192137379915
pono,voiceless,m,355,lag,2.11145242948352,2.14594975639482,34.49732691129981
pono,voiceless,m,377,lag,2.12285411728268,2.13810992352024,15.255806237560066
puso,voiceless,f,007,lag,2.12066578722691,2.14699769463433,26.331907407419752
puso,voiceless,f,863,lag,2.10442251527423,2.12295456751119,18.532052236960084
puso,voiceless,f,928,lag,2.12690777768781,2.13537590733073,8.468129642920097
puso,voiceless,m,198,lag,2.12412903723937,2.14384466325974,19.715626020369914
puso,voiceless,m,355,lag,2.09157767998636,2.13341806732466,41.840387338299756
puso,voiceless,m,377,lag,2.12021412523033,2.14476940627079,24.55528104046012
